S.R.Watson,23,47,0,4,31,AUS
G.J.Maxwell,13,19,0,2,22,AUS
V.Sehwag,6,36,0,1,19,IND
M.S.Dhoni,44,60,0,8,43,IND
B.Kumarr,10,18,0,2,18,IND
P.J.Hughes,0,12,0,0,9,AUS
M.C.Henriques,0,3,0,0,4,AUS
X.J.Doherty,1,23,0,0,26,AUS
P.J.Hughes,2,39,0,0,31,AUS
P.M.Siddle,0,22,0,0,14,AUS
M.Vijayy,153,467,3,19,317,IND
V.Kohlii,67,178,1,7,129,IND
B.Kumarr,18,113,0,2,57,IND
E.J.M.Cowan,8,35,0,1,20,AUS
M.J.Clarke,18,52,0,3,49,AUS
M.A.Starc,35,113,0,2,100,AUS
S.R.Tendulkar,21,69,0,2,23,IND
D.A.Warner,59,133,0,6,93,AUS
M.S.Wade,12,33,0,1,35,AUS
J.L.Pattinson,15,44,0,1,47,AUS
S.R.Tendulkar,81,257,0,7,159,IND
R.Ashwin,3,13,0,0,6,IND
S.R.Watson,17,53,1,1,46,AUS
M.S.Wade,8,23,0,1,22,AUS
M.A.Starc,8,8,0,2,7,AUS
S.R.Tendulkar,13,9,2,0,10,IND
