D.A.Warner,6,11,0,1,8,AUS,2009
E.J.M.Cowan,4,21,0,1,13,AUS,2010
P.J.Hughes,19,84,0,4,57,AUS,2007
S.R.Watson,23,47,0,4,31,AUS,2008
M.J.Clarke,91,267,1,9,186,AUS,2009
M.S.Wade,62,180,0,8,144,AUS,2010
M.C.Henriques,5,21,0,1,22,AUS,2007
G.J.Maxwell,13,19,0,2,22,AUS,2008
P.M.Siddle,0,9,0,0,14,AUS,2009
J.L.Pattinson,1,9,0,0,6,AUS,2010
X.J.Doherty,0,5,0,0,7,AUS,2007
V.Sehwag,6,36,0,1,19,IND,2008
C.A.Pujara,204,448,1,30,341,IND,2009
S.R.Tendulkar,7,33,0,1,15,IND,2010
V.Kohlii,34,119,0,3,92,IND,2007
M.S.Dhoni,44,60,0,8,43,IND,2008
R.A.Jadeja,10,20,1,1,13,IND,2009
R.Ashwin,1,4,0,0,5,IND,2010
H.Singhh,0,7,0,0,6,IND,2007
B.Kumarr,10,18,0,2,18,IND,2008
I.Sharma,2,13,0,0,12,IND,2009
E.J.M.Cowan,44,174,0,6,150,AUS,2010
D.A.Warner,26,72,1,3,56,AUS,2007
P.J.Hughes,0,12,0,0,9,AUS,2008
S.R.Watson,9,40,1,0,35,AUS,2009
M.J.Clarke,16,39,1,0,31,AUS,2010
M.S.Wade,10,44,0,1,28,AUS,2007
M.C.Henriques,0,3,0,0,4,AUS,2008
G.J.Maxwell,8,15,0,1,22,AUS,2009
P.M.Siddle,4,12,0,0,14,AUS,2010
J.L.Pattinson,0,23,0,0,27,AUS,2007
X.J.Doherty,1,23,0,0,26,AUS,2008
E.J.M.Cowan,86,295,0,8,238,AUS,2009
D.A.Warner,71,186,0,9,147,AUS,2010
M.J.Clarke,0,1,0,0,1,AUS,2007
P.J.Hughes,2,39,0,0,31,AUS,2008
S.P.D.Smith,92,236,1,10,185,AUS,2009
B.J. Haddin,21,50,1,2,36,AUS,2010
M.C.Henriques,0,1,0,0,2,AUS,2007
P.M.Siddle,0,22,0,0,14,AUS,2008
M.A.Starc,99,146,0,14,144,AUS,2009
N.M.Lyon,9,66,0,1,44,AUS,2010
X.J.Doherty,5,13,0,0,12,AUS,2007
M.Vijayy,153,467,3,19,317,IND,2008
S.Dhawan,187,300,2,33,174,IND,2009
C.A.Pujara,1,12,0,0,13,IND,2010
S.R.Tendulkar,37,122,0,5,81,IND,2007
V.Kohlii,67,178,1,7,129,IND,2008
M.S.Dhoni,4,1,0,1,3,IND,2009
R.A.Jadeja,8,14,0,1,9,IND,2010
R.Ashwin,4,9,0,1,6,IND,2007
B.Kumarr,18,113,0,2,57,IND,2008
I.Sharma,0,4,0,0,3,IND,2009
P.P.Ojha,1,5,0,0,2,IND,2010
D.A.Warner,2,3,0,0,3,AUS,2007
E.J.M.Cowan,8,35,0,1,20,AUS,2008
P.J.Hughes,69,168,1,11,147,AUS,2009
S.P.D.Smith,5,21,0,0,19,AUS,2010
N.M.Lyon,18,52,0,3,48,AUS,2007
M.J.Clarke,18,52,0,3,49,AUS,2008
B.J. Haddin,30,81,0,5,72,AUS,2009
M.C.Henriques,2,7,0,0,10,AUS,2010
P.M.Siddle,13,10,1,1,13,AUS,2007
M.A.Starc,35,113,0,2,100,AUS,2008
X.J.Doherty,18,65,0,4,56,AUS,2009
C.A.Pujara,28,76,0,5,51,IND,2010
V.Kohlii,34,79,0,6,61,IND,2007
S.R.Tendulkar,21,69,0,2,23,IND,2008
M.S.Dhoni,18,36,0,3,28,IND,2009
R.A.Jadeja,8,6,0,2,5,IND,2010
E.J.M.Cowan,29,55,1,4,45,AUS,2007
D.A.Warner,59,133,0,6,93,AUS,2008
P.J.Hughes,6,14,0,0,15,AUS,2009
S.R.Watson,28,53,0,3,60,AUS,2010
M.J.Clarke,130,323,1,12,246,AUS,2007
M.S.Wade,12,33,0,1,35,AUS,2008
M.C.Henriques,68,173,0,5,132,AUS,2009
M.A.Starc,3,14,0,0,3,AUS,2010
P.M.Siddle,19,111,0,2,94,AUS,2007
J.L.Pattinson,15,44,0,1,47,AUS,2008
N.M.Lyon,3,37,0,0,28,AUS,2009
V.Sehwag,2,28,0,0,11,IND,2010
C.A.Pujara,44,116,0,6,74,IND,2007
S.R.Tendulkar,81,257,0,7,159,IND,2008
V.Kohlii,107,266,1,15,206,IND,2009
M.S.Dhoni,224,365,6,24,265,IND,2010
R.A.Jadeja,16,63,0,3,45,IND,2007
R.Ashwin,3,13,0,0,6,IND,2008
B.Kumarr,38,167,0,4,97,IND,2009
I.Sharma,4,32,0,0,18,IND,2010
E.J.M.Cowan,32,98,0,3,97,AUS,2007
S.R.Watson,17,53,1,1,46,AUS,2008
D.A.Warner,23,82,0,2,61,AUS,2009
P.J.Hughes,0,4,0,0,3,AUS,2010
M.J.Clarke,31,69,1,4,51,AUS,2007
M.S.Wade,8,23,0,1,22,AUS,2008
M.C.Henriques,81,159,2,6,148,AUS,2009
P.M.Siddle,2,19,0,0,20,AUS,2010
J.L.Pattinson,11,26,0,1,26,AUS,2007
M.A.Starc,8,8,0,2,7,AUS,2008
N.M.Lyon,11,83,0,1,77,AUS,2009
V.Sehwag,19,34,0,3,23,IND,2010
C.A.Pujara,8,34,0,0,24,IND,2007
S.R.Tendulkar,13,9,2,0,10,IND,2008
